Game,Winner,Turns
1,HOUNDS,4
2,HOUNDS,5
3,HOUNDS,5
4,HOUNDS,6
5,HOUNDS,7
6,HOUNDS,6
7,HOUNDS,4
8,HOUNDS,6
9,FOX,14
10,FOX,16
11,HOUNDS,10
12,HOUNDS,6
13,HOUNDS,6
14,HOUNDS,12
15,HOUNDS,6
16,HOUNDS,10
17,HOUNDS,5
18,HOUNDS,10
19,HOUNDS,6
20,HOUNDS,8
21,HOUNDS,4
22,HOUNDS,4
23,HOUNDS,6
24,FOX,16
25,HOUNDS,4
26,FOX,16
27,HOUNDS,5
28,HOUNDS,6
29,HOUNDS,4
30,HOUNDS,4
31,HOUNDS,8
32,HOUNDS,6
33,HOUNDS,6
34,HOUNDS,6
35,HOUNDS,5
36,HOUNDS,6
37,HOUNDS,13
38,HOUNDS,10
39,HOUNDS,13
40,HOUNDS,10
41,HOUNDS,4
42,HOUNDS,10
43,HOUNDS,13
44,HOUNDS,6
45,HOUNDS,7
46,HOUNDS,8
47,HOUNDS,7
48,HOUNDS,4
49,HOUNDS,4
50,HOUNDS,4
51,HOUNDS,6
52,HOUNDS,10
53,HOUNDS,10
54,HOUNDS,4
55,HOUNDS,7
56,HOUNDS,4
57,FOX,16
58,HOUNDS,7
59,HOUNDS,8
60,HOUNDS,11
61,FOX,16
62,HOUNDS,4
63,HOUNDS,4
64,HOUNDS,6
65,HOUNDS,6
66,HOUNDS,5
67,HOUNDS,4
68,HOUNDS,13
69,HOUNDS,4
70,HOUNDS,4
71,HOUNDS,4
72,HOUNDS,13
73,HOUNDS,7
74,HOUNDS,8
75,FOX,16
76,HOUNDS,6
77,HOUNDS,6
78,HOUNDS,7
79,HOUNDS,6
80,HOUNDS,4
81,HOUNDS,6
82,HOUNDS,6
83,HOUNDS,5
84,HOUNDS,10
85,HOUNDS,4
86,HOUNDS,7
87,HOUNDS,6
88,HOUNDS,4
89,HOUNDS,7
90,HOUNDS,10
91,HOUNDS,5
92,FOX,15
93,HOUNDS,6
94,HOUNDS,6
95,HOUNDS,4
96,HOUNDS,6
97,HOUNDS,4
98,HOUNDS,6
99,HOUNDS,7
100,HOUNDS,7
