Game,Winner,Turns
1,FOX,12
2,FOX,14
3,FOX,10
4,FOX,14
5,FOX,16
6,FOX,14
7,FOX,14
8,FOX,16
9,FOX,12
10,HOUNDS,12
11,FOX,14
12,FOX,16
13,FOX,16
14,FOX,12
15,FOX,14
16,FOX,15
17,FOX,16
18,FOX,16
19,FOX,16
20,FOX,12
21,FOX,14
22,FOX,14
23,FOX,14
24,FOX,15
25,HOUNDS,6
26,FOX,14
27,FOX,14
28,HOUNDS,12
29,FOX,14
30,FOX,12
31,FOX,12
32,FOX,10
33,FOX,12
34,FOX,14
35,FOX,16
36,FOX,10
37,FOX,12
38,FOX,14
39,FOX,10
40,FOX,16
41,FOX,14
42,FOX,16
43,FOX,15
44,FOX,16
45,FOX,16
46,FOX,12
47,FOX,16
48,FOX,10
49,FOX,10
50,FOX,14
51,FOX,16
52,FOX,15
53,FOX,14
54,FOX,14
55,FOX,16
56,FOX,12
57,FOX,16
58,FOX,11
59,FOX,12
60,FOX,15
61,FOX,14
62,FOX,15
63,FOX,12
64,FOX,14
65,FOX,14
66,HOUNDS,8
67,FOX,12
68,FOX,14
69,FOX,14
70,FOX,16
71,HOUNDS,6
72,FOX,14
73,FOX,15
74,FOX,16
75,FOX,12
76,FOX,15
77,FOX,16
78,FOX,16
79,FOX,12
80,FOX,16
81,FOX,14
82,FOX,12
83,HOUNDS,11
84,FOX,14
85,FOX,14
86,FOX,12
87,FOX,10
88,FOX,16
89,FOX,15
90,FOX,14
91,FOX,14
92,FOX,15
93,FOX,12
94,FOX,14
95,FOX,15
96,FOX,14
97,FOX,14
98,FOX,16
99,FOX,15
100,FOX,15
