Game,Winner,Turns
1,HOUNDS,6
2,HOUNDS,4
3,HOUNDS,4
4,HOUNDS,6
5,HOUNDS,4
6,HOUNDS,6
7,HOUNDS,5
8,HOUNDS,10
9,HOUNDS,9
10,FOX,15
11,HOUNDS,6
12,HOUNDS,4
13,FOX,16
14,HOUNDS,10
15,FOX,16
16,HOUNDS,6
17,FOX,16
18,HOUNDS,7
19,FOX,16
20,HOUNDS,8
21,HOUNDS,6
22,HOUNDS,5
23,HOUNDS,6
24,HOUNDS,4
25,HOUNDS,6
26,FOX,16
27,HOUNDS,8
28,HOUNDS,4
29,HOUNDS,13
30,HOUNDS,6
31,HOUNDS,6
32,HOUNDS,6
33,HOUNDS,4
34,HOUNDS,6
35,FOX,16
36,HOUNDS,6
37,HOUNDS,6
38,HOUNDS,6
39,HOUNDS,6
40,HOUNDS,10
41,HOUNDS,4
42,HOUNDS,7
43,HOUNDS,6
44,FOX,16
45,HOUNDS,14
46,HOUNDS,6
47,HOUNDS,8
48,HOUNDS,6
49,HOUNDS,5
50,HOUNDS,4
51,HOUNDS,5
52,FOX,16
53,HOUNDS,6
54,HOUNDS,8
55,HOUNDS,7
56,HOUNDS,6
57,FOX,16
58,HOUNDS,4
59,HOUNDS,11
60,HOUNDS,6
61,HOUNDS,6
62,HOUNDS,6
63,HOUNDS,5
64,HOUNDS,10
65,HOUNDS,6
66,HOUNDS,7
67,HOUNDS,12
68,HOUNDS,4
69,HOUNDS,5
70,FOX,16
71,FOX,16
72,HOUNDS,6
73,HOUNDS,7
74,HOUNDS,4
75,HOUNDS,6
76,HOUNDS,4
77,HOUNDS,8
78,HOUNDS,6
79,HOUNDS,5
80,HOUNDS,4
81,HOUNDS,14
82,HOUNDS,7
83,FOX,16
84,HOUNDS,6
85,HOUNDS,6
86,HOUNDS,6
87,HOUNDS,6
88,HOUNDS,6
89,HOUNDS,4
90,FOX,16
91,HOUNDS,4
92,HOUNDS,8
93,HOUNDS,4
94,HOUNDS,14
95,HOUNDS,6
96,HOUNDS,6
97,HOUNDS,7
98,FOX,16
99,HOUNDS,10
100,HOUNDS,8
