Game,Winner,Turns
1,FOX,15
2,FOX,15
3,FOX,15
4,HOUNDS,14
5,FOX,11
6,HOUNDS,4
7,FOX,16
8,FOX,16
9,FOX,16
10,FOX,14
11,FOX,14
12,FOX,16
13,FOX,16
14,FOX,13
15,FOX,14
16,HOUNDS,12
17,HOUNDS,12
18,FOX,15
19,FOX,15
20,FOX,16
21,FOX,15
22,FOX,16
23,FOX,16
24,FOX,16
25,FOX,16
26,FOX,15
27,HOUNDS,8
28,FOX,16
29,FOX,16
30,FOX,16
31,FOX,16
32,FOX,16
33,HOUNDS,4
34,FOX,16
35,HOUNDS,9
36,FOX,16
37,FOX,16
38,FOX,16
39,FOX,15
40,HOUNDS,13
41,HOUNDS,6
42,FOX,15
43,FOX,14
44,HOUNDS,9
45,FOX,15
46,FOX,16
47,FOX,16
48,FOX,15
49,FOX,15
50,FOX,16
51,HOUNDS,15
52,FOX,15
53,FOX,10
54,FOX,16
55,FOX,16
56,FOX,16
57,FOX,15
58,FOX,14
59,HOUNDS,6
60,FOX,16
61,FOX,14
62,FOX,15
63,FOX,15
64,FOX,15
65,HOUNDS,14
66,FOX,15
67,FOX,15
68,HOUNDS,12
69,FOX,16
70,FOX,10
71,FOX,15
72,FOX,16
73,FOX,15
74,HOUNDS,10
75,FOX,16
76,FOX,16
77,FOX,15
78,FOX,16
79,FOX,14
80,HOUNDS,13
81,FOX,15
82,FOX,15
83,FOX,16
84,FOX,13
85,FOX,15
86,FOX,15
87,HOUNDS,10
88,FOX,16
89,HOUNDS,11
90,FOX,15
91,FOX,16
92,FOX,15
93,FOX,16
94,HOUNDS,14
95,FOX,14
96,FOX,15
97,FOX,15
98,FOX,15
99,FOX,15
100,FOX,16
